math.NA	86677 23640 215975
math.AG	99053 135915 197853
math.FA	31805 168668 171147
math.NT	61315 54460 171865
math.CV	35644 84208 191685
math.AP	102503 177894 65740
math.GM	73947 17748 8804
math.OC	144422 175481 91418
math.ST	94665 16856 22917
math.PR	78210 221277 103047
math.DG	190007 115474 188050
math.CO	99352 185301 58854
math.OA	206544 121953 38950
math.RT	217832 7680 196510
math.CA	162793 62819 54482
math.DS	108326 123723 25824
math.GR	62081 13715 179861
math.QA	20921 107178 182523
math.LO	107697 31146 124644
math.RA	79216 182656 4898
math.SG	226219 35303 90896
math.AT	163196 128875 197445
math.AC	75909 36280 98710
math.GT	95699 39094 146590
math.MG	133734 221330 59151
physics.optics	189052 114946 185235
physics.flu-dyn	121139 214260 135169
physics.atom-ph	22135 145268 228627
physics.ins-det	209470 15550 72793
physics.acc-ph	138616 106819 227961
physics.gen-ph	176674 129394 41412
physics.plasm-ph	144367 93101 183364
physics.chem-ph	17951 197417 46934
physics.soc-ph	2292 74031 102723
physics.class-ph	64853 157109 79901
cs.CV	43257 106142 12422
cs.GT	142914 149722 132718
cs.IT	105087 50794 162011
cs.AI	8298 208703 122034
cs.DC	211241 182076 159374
cs.CL	89757 71161 182675
cs.NI	41596 120768 148731
cs.SE	218843 199049 145300
cs.CC	52793 159782 62859
cs.CR	100244 78437 85245
cs.LG	41542 167592 224918
cs.LO	71000 105299 124606
cs.SY	71692 107618 201278
cs.CY	198073 207755 216406
cs.DS	85162 221486 90311
cs.PL	199292 110849 95068
cs.OH	195886 14111 214371
cs.DB	213962 95772 176738
