federal_budget	7286 3292 3557
surveillance	12016 2272 9035
the_affordable_care_act	6871 11188 12178
immigration	11189 11840 3682
law_enforcement	4467 7960 6851
gay_rights	10913 10841 8114
gun_control	5590 5971 12245
military	8964 4946 10584
abortion	10105 4264 9284
dance	2966 9799 5813
television	3107 1139 4859
music	6496 281 10500
movies	2106 2237 6710
stocks_and_bonds	5318 3297 10679
energy_companies	3655 1664 2297
economy	9516 4512 12241
international_business	1841 12579 1737
cosmos	2426 5452 4348
environment	7621 5268 7291
hockey	6640 7192 12719
basketball	11838 5140 3217
tennis	1448 189 10303
golf	607 9795 10989
football	9331 4598 9704
baseball	10991 451 5003
soccer	1992 10321 2355
