federal_budget	cuts budget debt
surveillance	surveillance intelligence snowden
the_affordable_care_act	insurance coverage medicaid
immigration	immigrants immigration citizenship
law_enforcement	death judge prosecutors
gay_rights	gay marriage same-sex
gun_control	gun guns rifle
military	military pentagon combat
abortion	abortion abortions clinics
dance	ballet dancers dancer
television	episode viewers episodes
music	album songs orchestra
movies	hollywood directed oscar
stocks_and_bonds	stocks dow points
energy_companies	natural power electricity
economy	fed economists economist
international_business	china union euro
cosmos	spacecraft sun kepler
environment	climate wildlife fish
hockey	period rangers bruins
basketball	rebounds nets knicks
tennis	wimbledon tennis slam
golf	golf tour pga
football	yards quarterback touchdown
baseball	innings inning yankees
soccer	cup champions united
